Period,UNI,Status,JobType,Price (tax not included),Pricewithtax,Date,Time,Notes,Employee UNI,Paid/Unpaid,
Summer 2013,,,,,,5-Jun,,,,,
,,,,,,6-Jun,,,,,
,,,,,,7-Jun,,,,,
,,,,,,8-Jun,,,,,
,,,,,,9-Jun,,,,,
,,,,,,10-Jun,,,,,
,,,,,,11-Jun,,,,,
,,,,,,12-Jun,,,,,
,,,,,,13-Jun,,,,,
mos2111_SitePlan.pdf,mos2111,Completed,Heavyweight Bond,$24.00 ,26.13,14-Jun,12:23 AM,,mih2113,Paid,
pinupfridaystudioliugroup1PROGRAM_cg2714.pdf,cg2714,Completed,Heavyweight Bond,$24.00 ,26.13,14-Jun,12:23 AM,,mih2113,Unpaid,
pinupfridaystudioliugroup1SITE_cg2714.pdf,cg2714,Completed,Heavyweight Bond,$16.00 ,17.42,14-Jun,12:23 AM,,mih2113,Unpaid,
,,,,,,15-Jun,,,,,
,,,,,,16-Jun,,,,,
,,,,,,17-Jun,,,,,
,,,,,,18-Jun,,,,,
,,,,,,19-Jun,,,,,
gvh2102_all categories.indd,gvh2102,Completed,Lightweight Bond,$88.00 ,95.81,20-Jun,12:23 AM,22x34,lmw2163,Paid,
mos2111_Studies.pdf,mos2111,Completed,Heavyweight Bond,$48.00 ,52.26,20-Jun,12:23 AM,36x48 (x2),lmw2163,Unpaid,
ml3548 36X48PRINT Layout1 (1),ml3548,Completed,Heavyweight Bond,$24.00 ,26.13,21-Jun,12:23 AM,36x48,scc2159,Unpaid,
tl2575_BOUNDARY AXON BOARD.pdf,TL 2575,Completed,Heavyweight Bond,$24.00 ,26.13,21-Jun,12:23 AM,36x48,scc2159,Paid,
mos2111_SitePlan4.pdf,mos2111,Completed,Heavyweight Bond,$24.00 ,26.13,21-Jun,12:23 AM,36x48,scc2159,Paid,
ml3548 Overlay tongtong.psd,ml3548,Completed,Heavyweight Bond,,26.13,21-Jun,,,scc2159,Unpaid,
ml3548 36X48PRINT Layout1 (1),ml3548,Completed,Heavyweight Bond,,26.13,21-Jun,,,scc2159,Paid,
gg2539_36x48 gg2539_36x48 (1),gg2539,Completed,Heavyweight Bond,$24.00 ,26.13,21-Jun,12:40 PM,36*48,sl3530,Unpaid,
